Approx Module;VVenC Profile;Video;Read BER;Write BER;QP;Rep.;YUV-PSNR;Bitrate;Execution Time
transf_approx;randomaccess_faster;RaceHorses_416x240_30;0;0;22;0;39.4633;1745.4000;131.900
transf_approx;randomaccess_faster;RaceHorses_416x240_30;0;0;27;0;35.7294;905.5920;97.791
transf_approx;randomaccess_faster;RaceHorses_416x240_30;0;0;32;0;32.5595;478.3680;77.215
transf_approx;randomaccess_faster;RaceHorses_416x240_30;0;0;37;0;29.8086;248.5200;59.226
transf_approx;randomaccess_medium;RaceHorses_416x240_30;0;0;22;0;40.0118;1600.1040;1699.503
transf_approx;randomaccess_medium;RaceHorses_416x240_30;0;0;27;0;36.3082;860.4000;1286.464
transf_approx;randomaccess_medium;RaceHorses_416x240_30;0;0;32;0;33.0357;459.7680;906.250
transf_approx;randomaccess_medium;RaceHorses_416x240_30;0;0;37;0;30.4212;245.1120;701.665
transf_approx;randomaccess_slower;RaceHorses_416x240_30;0;0;22;0;40.2407;1538.9280;22257.992
transf_approx;randomaccess_slower;RaceHorses_416x240_30;0;0;27;0;36.6099;826.9440;16689.435
transf_approx;randomaccess_slower;RaceHorses_416x240_30;0;0;32;0;33.4767;444.3120;11624.963
transf_approx;randomaccess_slower;RaceHorses_416x240_30;0;0;37;0;30.9062;241.8240;7012.609
