Approx Module;VVenC Profile;Video;Read BER;Write BER;QP;YUV-PSNR;Bitrate;Execution Time
fme_approx;randomaccess_medium;RaceHorses_416x240_30;0;0;22;40.0118;1600.104;1360.9454;
fme_approx;randomaccess_medium;RaceHorses_416x240_30;0;0;27;36.3082;860.4;987.5781999999999;
fme_approx;randomaccess_medium;RaceHorses_416x240_30;0;0;32;33.0357;459.7679999999999;716.4852;
fme_approx;randomaccess_medium;RaceHorses_416x240_30;0;0;37;30.4212;245.112;519.6124;
fme_approx;randomaccess_medium;RaceHorses_416x240_30;1E_03;1E_03;22;39.98664;1604.2992;12506.4638;
fme_approx;randomaccess_medium;RaceHorses_416x240_30;1E_03;1E_03;27;36.249700000000004;858.0768;10002.764;
fme_approx;randomaccess_medium;RaceHorses_416x240_30;1E_03;1E_03;32;33.043040000000005;459.78720000000004;8293.146799999999;
fme_approx;randomaccess_medium;RaceHorses_416x240_30;1E_03;1E_03;37;30.39284;244.7424;6629.664199999999;
fme_approx;randomaccess_medium;RaceHorses_416x240_30;1E_04;1E_04;22;39.99548;1602.0096;12900.1574;
fme_approx;randomaccess_medium;RaceHorses_416x240_30;1E_04;1E_04;27;36.27296;859.3344000000001;10215.101200000001;
fme_approx;randomaccess_medium;RaceHorses_416x240_30;1E_04;1E_04;32;33.04688;459.1008;8263.606199999998;
fme_approx;randomaccess_medium;RaceHorses_416x240_30;1E_04;1E_04;37;30.3993;245.208;6651.3758;
fme_approx;randomaccess_medium;RaceHorses_416x240_30;1E_05;1E_05;22;40.0086;1605.3696;12924.8054;
fme_approx;randomaccess_medium;RaceHorses_416x240_30;1E_05;1E_05;27;36.27578;857.3903999999999;10279.6748;
fme_approx;randomaccess_medium;RaceHorses_416x240_30;1E_05;1E_05;32;33.04756;459.7584;8491.015800000001;
fme_approx;randomaccess_medium;RaceHorses_416x240_30;1E_05;1E_05;37;30.41384;245.17439999999996;6795.579;
fme_approx;randomaccess_medium;RaceHorses_416x240_30;1E_06;1E_06;22;40.0085;1601.2512;12841.586599999999;
fme_approx;randomaccess_medium;RaceHorses_416x240_30;1E_06;1E_06;27;36.301120000000004;859.7903999999999;10171.972;
fme_approx;randomaccess_medium;RaceHorses_416x240_30;1E_06;1E_06;32;33.03942;460.0799999999999;8348.502199999999;
fme_approx;randomaccess_medium;RaceHorses_416x240_30;1E_06;1E_06;37;30.417;244.9152;6872.679400000001;
fme_approx;randomaccess_medium;RaceHorses_416x240_30;1E_07;1E_07;22;40.01214;1600.7472000000002;12898.0664;
fme_approx;randomaccess_medium;RaceHorses_416x240_30;1E_07;1E_07;27;36.3082;860.4;10024.4332;
fme_approx;randomaccess_medium;RaceHorses_416x240_30;1E_07;1E_07;32;33.0357;459.7679999999999;8254.844999999998;
fme_approx;randomaccess_medium;RaceHorses_416x240_30;1E_07;1E_07;37;30.4212;245.112;5239.0478;
