Approx Module;VVenC Profile;Video;Read BER;Write BER;QP;Rep.;YUV-PSNR;Bitrate;Execution Time
transf_approx;randomaccess_faster;RaceHorses_416x240_30;0;0;22;0;39.4633;1745.4000;131.900
transf_approx;randomaccess_faster;RaceHorses_416x240_30;0;0;27;0;35.7294;905.5920;97.791
transf_approx;randomaccess_faster;RaceHorses_416x240_30;0;0;32;0;32.5595;478.3680;77.215
transf_approx;randomaccess_faster;RaceHorses_416x240_30;0;0;37;0;29.8086;248.5200;59.226
transf_approx;randomaccess_medium;RaceHorses_416x240_30;0;0;22;0;40.0118;1600.1040;1699.503
transf_approx;randomaccess_medium;RaceHorses_416x240_30;0;0;27;0;36.3082;860.4000;1286.464
transf_approx;randomaccess_medium;RaceHorses_416x240_30;0;0;32;0;33.0357;459.7680;906.250
transf_approx;randomaccess_medium;RaceHorses_416x240_30;0;0;37;0;30.4212;245.1120;701.665
transf_approx;randomaccess_slower;RaceHorses_416x240_30;0;0;22;0;40.2407;1538.9280;22257.992
transf_approx;randomaccess_slower;RaceHorses_416x240_30;0;0;27;0;36.6099;826.9440;16689.435
transf_approx;randomaccess_slower;RaceHorses_416x240_30;0;0;32;0;33.4767;444.3120;11624.963
transf_approx;randomaccess_slower;RaceHorses_416x240_30;0;0;37;0;30.9062;241.8240;7012.609
transf_approx;randomaccess_faster;RaceHorses_416x240_30;1E_03;1E_03;22;0;32.6180;2073.7680;1961.424
transf_approx;randomaccess_faster;RaceHorses_416x240_30;1E_03;1E_03;27;0;31.5838;1102.6800;1736.895
transf_approx;randomaccess_faster;RaceHorses_416x240_30;1E_03;1E_03;32;0;29.9722;603.9600;2007.222
transf_approx;randomaccess_faster;RaceHorses_416x240_30;1E_03;1E_03;37;0;28.3429;325.1520;1836.458
transf_approx;randomaccess_medium;RaceHorses_416x240_30;1E_03;1E_03;22;0;35.0238;1708.5840;9711.121
transf_approx;randomaccess_medium;RaceHorses_416x240_30;1E_03;1E_03;27;0;33.1698;908.3520;9224.141
transf_approx;randomaccess_medium;RaceHorses_416x240_30;1E_03;1E_03;32;0;31.1627;487.9440;8822.731
transf_approx;randomaccess_medium;RaceHorses_416x240_30;1E_03;1E_03;37;0;29.1584;266.7360;8314.713
transf_approx;randomaccess_slower;RaceHorses_416x240_30;1E_03;1E_03;22;0;35.7981;1852.7040;69711.154
transf_approx;randomaccess_slower;RaceHorses_416x240_30;1E_03;1E_03;27;0;34.5150;940.0800;55043.478
transf_approx;randomaccess_slower;RaceHorses_416x240_30;1E_03;1E_03;32;0;32.3023;491.5200;55883.426
transf_approx;randomaccess_slower;RaceHorses_416x240_30;1E_03;1E_03;37;0;30.1063;263.2560;39224.585
transf_approx;randomaccess_faster;RaceHorses_416x240_30;1E_05;1E_05;22;0;39.4338;1739.5680;1721.769
transf_approx;randomaccess_faster;RaceHorses_416x240_30;1E_05;1E_05;27;0;35.6864;908.9040;1407.529
transf_approx;randomaccess_faster;RaceHorses_416x240_30;1E_05;1E_05;32;0;32.4946;476.2080;1054.845
transf_approx;randomaccess_faster;RaceHorses_416x240_30;1E_05;1E_05;37;0;29.8643;250.2240;765.924
transf_approx;randomaccess_medium;RaceHorses_416x240_30;1E_05;1E_05;22;0;39.7957;1614.6480;11503.451
transf_approx;randomaccess_medium;RaceHorses_416x240_30;1E_05;1E_05;27;0;36.1768;855.3840;9229.002
transf_approx;randomaccess_medium;RaceHorses_416x240_30;1E_05;1E_05;32;0;33.0405;458.9040;7323.811
transf_approx;randomaccess_medium;RaceHorses_416x240_30;1E_05;1E_05;37;0;30.4355;246.2880;5532.025
transf_approx;randomaccess_slower;RaceHorses_416x240_30;1E_05;1E_05;22;0;40.0559;1553.8320;105859.917
transf_approx;randomaccess_slower;RaceHorses_416x240_30;1E_05;1E_05;27;0;36.5209;831.8880;83288.020
transf_approx;randomaccess_slower;RaceHorses_416x240_30;1E_05;1E_05;32;0;33.4850;448.8960;61478.708
transf_approx;randomaccess_slower;RaceHorses_416x240_30;1E_05;1E_05;37;0;30.8734;242.7840;35344.618
transf_approx;randomaccess_faster;RaceHorses_416x240_30;1E_07;1E_07;22;0;39.4733;1739.4240;1857.282
transf_approx;randomaccess_faster;RaceHorses_416x240_30;1E_07;1E_07;27;0;35.7190;904.1040;1341.972
transf_approx;randomaccess_faster;RaceHorses_416x240_30;1E_07;1E_07;32;0;32.5268;477.6720;1099.569
transf_approx;randomaccess_faster;RaceHorses_416x240_30;1E_07;1E_07;37;0;29.8086;248.5200;786.691
transf_approx;randomaccess_medium;RaceHorses_416x240_30;1E_07;1E_07;22;0;39.9937;1602.4560;12114.443
transf_approx;randomaccess_medium;RaceHorses_416x240_30;1E_07;1E_07;27;0;36.2740;855.6960;9636.007
transf_approx;randomaccess_medium;RaceHorses_416x240_30;1E_07;1E_07;32;0;33.0492;461.2080;7467.621
transf_approx;randomaccess_medium;RaceHorses_416x240_30;1E_07;1E_07;37;0;30.3768;243.9120;5607.664
transf_approx;randomaccess_slower;RaceHorses_416x240_30;1E_07;1E_07;22;0;40.2478;1537.7760;106521.316
transf_approx;randomaccess_slower;RaceHorses_416x240_30;1E_07;1E_07;27;0;36.6031;826.1760;84592.132
transf_approx;randomaccess_slower;RaceHorses_416x240_30;1E_07;1E_07;32;0;33.4826;446.1360;55760.274
transf_approx;randomaccess_slower;RaceHorses_416x240_30;1E_07;1E_07;37;0;30.8986;241.8720;34370.840
