Approx Module;VVenC Profile;Video;Read BER;Write BER;QP;YUV-PSNR;Bitrate;Execution Time
transf_approx;randomaccess_faster;RaceHorses_416x240_30;0;0;22;39.4633;1745.4;133.442;
transf_approx;randomaccess_faster;RaceHorses_416x240_30;0;0;27;35.7294;905.592;99.32;
transf_approx;randomaccess_faster;RaceHorses_416x240_30;0;0;32;32.5595;478.368;77.17150000000001;
transf_approx;randomaccess_faster;RaceHorses_416x240_30;0;0;37;29.8086;248.52;59.82;
transf_approx;randomaccess_medium;RaceHorses_416x240_30;0;0;22;40.0118;1600.104;1529.0794999999998;
transf_approx;randomaccess_medium;RaceHorses_416x240_30;0;0;27;36.3082;860.4;1134.3705;
transf_approx;randomaccess_medium;RaceHorses_416x240_30;0;0;32;33.0357;459.768;923.865;
transf_approx;randomaccess_medium;RaceHorses_416x240_30;0;0;37;30.4212;245.112;698.4585;
transf_approx;randomaccess_slower;RaceHorses_416x240_30;0;0;22;40.2407;1538.928;22468.5965;
transf_approx;randomaccess_slower;RaceHorses_416x240_30;0;0;27;36.6099;826.944;16754.612500000003;
transf_approx;randomaccess_slower;RaceHorses_416x240_30;0;0;32;33.4767;444.312;11748.51;
transf_approx;randomaccess_slower;RaceHorses_416x240_30;0;0;37;30.9062;241.824;7003.988;
transf_approx;randomaccess_faster;RaceHorses_416x240_30;1E_03;1E_03;22;32.693;2073.696;2190.786;
transf_approx;randomaccess_faster;RaceHorses_416x240_30;1E_03;1E_03;27;31.5557;1104.2640000000001;1942.9845;
transf_approx;randomaccess_faster;RaceHorses_416x240_30;1E_03;1E_03;32;29.92375;607.848;2052.1495;
transf_approx;randomaccess_faster;RaceHorses_416x240_30;1E_03;1E_03;37;28.40885;323.496;1755.2440000000001;
transf_approx;randomaccess_medium;RaceHorses_416x240_30;1E_03;1E_03;22;35.08345;1705.2240000000002;9881.628499999999;
transf_approx;randomaccess_medium;RaceHorses_416x240_30;1E_03;1E_03;27;33.0984;907.104;9322.537499999999;
transf_approx;randomaccess_medium;RaceHorses_416x240_30;1E_03;1E_03;32;31.101300000000002;489.456;8900.849;
transf_approx;randomaccess_medium;RaceHorses_416x240_30;1E_03;1E_03;37;29.147550000000003;265.596;8110.0385;
transf_approx;randomaccess_slower;RaceHorses_416x240_30;1E_03;1E_03;22;35.8664;1838.6999999999998;70004.3165;
transf_approx;randomaccess_slower;RaceHorses_416x240_30;1E_03;1E_03;27;34.5798;942.6;56290.3485;
transf_approx;randomaccess_slower;RaceHorses_416x240_30;1E_03;1E_03;32;32.28895;491.532;53313.8685;
transf_approx;randomaccess_slower;RaceHorses_416x240_30;1E_03;1E_03;37;30.131050000000002;262.692;42423.797;
transf_approx;randomaccess_faster;RaceHorses_416x240_30;1E_05;1E_05;22;39.43825;1739.136;1843.5259999999998;
transf_approx;randomaccess_faster;RaceHorses_416x240_30;1E_05;1E_05;27;35.6873;908.796;1433.8225;
transf_approx;randomaccess_faster;RaceHorses_416x240_30;1E_05;1E_05;32;32.5219;476.952;1109.9715;
transf_approx;randomaccess_faster;RaceHorses_416x240_30;1E_05;1E_05;37;29.866300000000003;250.164;743.9155000000001;
transf_approx;randomaccess_medium;RaceHorses_416x240_30;1E_05;1E_05;22;39.866699999999994;1610.2199999999998;11550.771;
transf_approx;randomaccess_medium;RaceHorses_416x240_30;1E_05;1E_05;27;36.201499999999996;857.664;9190.889500000001;
transf_approx;randomaccess_medium;RaceHorses_416x240_30;1E_05;1E_05;32;33.01375;459.156;7304.2415;
transf_approx;randomaccess_medium;RaceHorses_416x240_30;1E_05;1E_05;37;30.395200000000003;245.4;5533.379;
transf_approx;randomaccess_slower;RaceHorses_416x240_30;1E_05;1E_05;22;40.025400000000005;1549.872;99204.011;
transf_approx;randomaccess_slower;RaceHorses_416x240_30;1E_05;1E_05;27;36.48005;831.984;80368.7335;
transf_approx;randomaccess_slower;RaceHorses_416x240_30;1E_05;1E_05;32;33.442949999999996;448.848;61208.1535;
transf_approx;randomaccess_slower;RaceHorses_416x240_30;1E_05;1E_05;37;30.8717;242.676;39766.380000000005;
transf_approx;randomaccess_faster;RaceHorses_416x240_30;1E_07;1E_07;22;39.46965;1740.54;2018.906;
transf_approx;randomaccess_faster;RaceHorses_416x240_30;1E_07;1E_07;27;35.7248;905.088;1493.914;
transf_approx;randomaccess_faster;RaceHorses_416x240_30;1E_07;1E_07;32;32.54315;478.02;1030.301;
transf_approx;randomaccess_faster;RaceHorses_416x240_30;1E_07;1E_07;37;29.8086;248.52;733.6890000000001;
transf_approx;randomaccess_medium;RaceHorses_416x240_30;1E_07;1E_07;22;40.008399999999995;1603.644;12180.403999999999;
transf_approx;randomaccess_medium;RaceHorses_416x240_30;1E_07;1E_07;27;36.262150000000005;855.84;9591.788;
transf_approx;randomaccess_medium;RaceHorses_416x240_30;1E_07;1E_07;32;33.05655;460.992;7303.986;
transf_approx;randomaccess_medium;RaceHorses_416x240_30;1E_07;1E_07;37;30.38505;244.872;5618.2585;
transf_approx;randomaccess_slower;RaceHorses_416x240_30;1E_07;1E_07;22;40.24745;1535.8319999999999;100273.34700000001;
transf_approx;randomaccess_slower;RaceHorses_416x240_30;1E_07;1E_07;27;36.61095;826.3320000000001;81918.311;
transf_approx;randomaccess_slower;RaceHorses_416x240_30;1E_07;1E_07;32;33.4785;445.572;58445.227;
transf_approx;randomaccess_slower;RaceHorses_416x240_30;1E_07;1E_07;37;30.92215;242.532;34700.5035;
