Approx Module;VVenC Profile;Video;Read BER;Write BER;QP;Rep.;YUV-PSNR;Bitrate;Execution Time
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;0;0;22;0;41.4473;4138.56;751.714
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;0;0;22;1;41.4473;4138.56;752.379
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;0;0;22;2;41.4473;4138.56;751.728
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;0;0;22;3;41.4473;4138.56;753.481
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;0;0;22;4;41.4473;4138.56;752.864
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;0;0;27;0;39.0853;2221.8071;547.902
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;0;0;27;1;39.0853;2221.8071;548.168
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;0;0;27;2;39.0853;2221.8071;548.654
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;0;0;27;3;39.0853;2221.8071;548.452
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;0;0;27;4;39.0853;2221.8071;549.215
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;0;0;32;0;36.4482;1252.1506;381.425
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;0;0;32;1;36.4482;1252.1506;381.351
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;0;0;32;2;36.4482;1252.1506;379.726
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;0;0;32;3;36.4482;1252.1506;377.55
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;0;0;32;4;36.4482;1252.1506;377.079
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;0;0;37;0;33.7283;702.5224;274.691
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;0;0;37;1;33.7283;702.5224;274.069
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;0;0;37;2;33.7283;702.5224;274.807
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;0;0;37;3;33.7283;702.5224;275.395
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;0;0;37;4;33.7283;702.5224;275.965
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_03;1E_03;22;0;41.4339;4131.36;8899.738
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_03;1E_03;22;1;41.4365;4139.6329;8970.13
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_03;1E_03;22;2;41.439;4131.8965;8924.665
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_03;1E_03;22;3;41.4385;4139.9718;8938.021
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_03;1E_03;22;4;41.4319;4128.7624;8827.753
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_03;1E_03;27;0;39.0862;2226.1271;6851.274
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_03;1E_03;27;1;39.0729;2220.7341;6696.674
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_03;1E_03;27;2;39.088;2228.6965;6711.354
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_03;1E_03;27;3;39.0911;2226.0706;6776.759
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_03;1E_03;27;4;39.0864;2221.1294;6708.096
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_03;1E_03;32;0;36.458;1257.6282;5196.16
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_03;1E_03;32;1;36.4364;1255.3129;5174.51
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_03;1E_03;32;2;36.43;1254.7765;5144.926
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_03;1E_03;32;3;36.4365;1254.3812;5104.174
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_03;1E_03;32;4;36.4337;1252.0094;5133.752
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_03;1E_03;37;0;33.7254;702.7765;4206.412
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_03;1E_03;37;1;33.7361;702.5506;4141.243
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_03;1E_03;37;2;33.7594;703.5388;4238.544
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_03;1E_03;37;3;33.7399;701.9859;4142.85
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_03;1E_03;37;4;33.7165;700.5176;4223.23
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_04;1E_04;22;0;41.4461;4119.8118;8664.524
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_04;1E_04;22;1;41.4374;4118.6259;8603.549
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_04;1E_04;22;2;41.4367;4125.3459;8645.784
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_04;1E_04;22;3;41.4383;4133.3647;8593.865
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_04;1E_04;22;4;41.4389;4130.1741;8624.8
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_04;1E_04;27;0;39.0921;2222.0329;6568.463
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_04;1E_04;27;1;39.0894;2222.6259;6589.451
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_04;1E_04;27;2;39.0793;2221.2424;6687.818
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_04;1E_04;27;3;39.0845;2223.9529;6584.1
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_04;1E_04;27;4;39.0845;2225.3365;6666.563
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_04;1E_04;32;0;36.4539;1254.6071;5127.968
