Approx Module;VVenC Profile;Video;Read BER;Write BER;QP;YUV-PSNR;Bitrate;Execution Time
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;0;0;22;41.4473;4138.56;752.4331999999999;
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;0;0;27;39.0853;2221.8071;548.4782000000001;
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;0;0;32;36.4482;1252.1506;379.4262;
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;0;0;37;33.7283;702.5224;274.98539999999997;
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_03;1E_03;22;41.43596;4134.32472;8912.0614;
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_03;1E_03;27;39.08492;2224.55154;6748.8314;
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_03;1E_03;32;36.438919999999996;1254.82164;5150.7044000000005;
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_03;1E_03;37;33.73546;702.27388;4190.4558;
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_04;1E_04;22;41.439479999999996;4125.464480000001;8626.5044;
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_04;1E_04;27;39.08596;2223.03812;6619.279;
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_04;1E_04;32;36.448620000000005;1253.75436;5090.4754;
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_04;1E_04;37;33.74156000000001;702.38118;4126.961400000001;
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_05;1E_05;22;41.44394;4128.790599999999;8543.8212;
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_05;1E_05;27;39.09664;2223.94728;6596.3338;
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_05;1E_05;32;36.45682;1255.17742;5029.388199999999;
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_05;1E_05;37;33.74754;703.93412;4127.694799999999;
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_06;1E_06;22;41.44832;4133.77696;8491.060800000001;
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_06;1E_06;27;39.08857999999999;2222.3266;6584.692000000001;
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_06;1E_06;32;36.45094;1252.5572;5008.9187999999995;
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_06;1E_06;37;33.73832;703.05882;4101.5779999999995;
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_07;1E_07;22;41.4473;4138.56;8450.833999999999;
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_07;1E_07;27;39.0853;2221.8071;6635.790400000001;
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_07;1E_07;32;36.447680000000005;1252.21272;4983.109;
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_07;1E_07;37;33.7283;702.5224;4101.08;
filt_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;0;0;22;42.6553;3428.1411999999996;981.1362000000001;
filt_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;0;0;27;39.709;1661.3647;652.3509999999999;
filt_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;0;0;32;36.9105;839.9529;428.04940000000005;
filt_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;0;0;37;34.4237;437.01180000000005;297.2268;
filt_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_03;1E_03;22;42.63592;3431.35058;12180.6324;
filt_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_03;1E_03;27;39.68096;1662.84706;9280.243400000001;
filt_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_03;1E_03;32;36.913500000000006;840.0047200000001;7271.616;
filt_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_03;1E_03;37;34.4134;438.24472000000003;5947.807599999999;
filt_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_04;1E_04;22;42.64888;3429.9576399999996;12354.6366;
filt_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_04;1E_04;27;39.695820000000005;1662.57882;9369.3256;
filt_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_04;1E_04;32;36.92078;839.8070599999999;7382.486;
filt_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_04;1E_04;37;34.41686;437.65176;5921.721;
filt_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_05;1E_05;22;42.658339999999995;3430.2729;12391.0118;
filt_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_05;1E_05;27;39.69926;1660.96942;9397.081;
filt_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_05;1E_05;32;36.91972;839.9952999999999;7426.5712;
filt_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_05;1E_05;37;34.4257;438.17412;6033.2462;
filt_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_06;1E_06;22;42.653819999999996;3426.7058599999996;12407.3538;
filt_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_06;1E_06;27;39.694;1659.92942;9390.9812;
filt_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_06;1E_06;32;36.92012;839.9529399999999;7433.7504;
filt_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_06;1E_06;37;34.42412;437.46824;6086.0448;
filt_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_07;1E_07;22;42.6557;3427.1812000000004;12346.284;
filt_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_07;1E_07;27;39.70506;1660.2494;9410.495599999998;
filt_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_07;1E_07;32;36.91180000000001;840.0282;7427.635800000001;
filt_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_07;1E_07;37;34.419439999999994;437.08707999999996;5945.7666;
filt_inter_approx;randomaccess_medium;PartyScene_832x480_50;0;0;22;39.3168;10448.7765;1453.0078;
filt_inter_approx;randomaccess_medium;PartyScene_832x480_50;0;0;27;35.6537;5360.9647;1032.9292;
filt_inter_approx;randomaccess_medium;PartyScene_832x480_50;0;0;32;32.4894;2785.5294;714.3462000000001;
filt_inter_approx;randomaccess_medium;PartyScene_832x480_50;0;0;37;29.6997;1415.0118;498.8268;
filt_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_03;1E_03;22;39.31554;10437.7647;13004.018399999999;
filt_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_03;1E_03;27;35.64588;5370.79998;10207.459200000001;
filt_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_03;1E_03;32;32.48764;2779.2188200000005;8366.916200000001;
filt_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_03;1E_03;37;29.709039999999998;1414.6070599999998;6834.8784;
filt_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_04;1E_04;22;39.318619999999996;10432.480039999999;12809.693;
filt_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_04;1E_04;27;35.655899999999995;5369.61882;10267.302599999999;
filt_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_04;1E_04;32;32.49132000000001;2783.94824;8456.810800000001;
filt_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_04;1E_04;37;29.701100000000004;1413.2799799999998;6861.984399999999;
filt_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_05;1E_05;22;39.319;10434.207059999999;12808.6454;
